modello,termine,coef,moltiplicatore
frequenza,Intercept,0.012242567221941367,1.0123178142065878
frequenza,C(fascia_eta)[T.18-30],0.10702473582901674,1.1129617841712347
frequenza,C(fascia_eta)[T.31-45],0.3408450859730951,1.4061353938925878
frequenza,C(fascia_eta)[T.46-60],0.25811025716322605,1.2944815366183287
frequenza,C(fascia_eta)[T.61-75],0.243956964351073,1.2762894033648584
frequenza,C(fascia_eta)[T.75+],0.575213807382861,1.7775105311634096
frequenza,C(sesso)[T.M],0.004672766651670599,1.004683701050425
frequenza,"C(categoria, Treatment(reference='DIP_BASE'))[T.ALTRO]",-0.9213568928432995,0.3979786601521685
frequenza,"C(categoria, Treatment(reference='DIP_BASE'))[T.DIP_QUALIFICATO]",0.631229990587636,1.8799214434833655
frequenza,"C(categoria, Treatment(reference='DIP_BASE'))[T.DIRIGENZIALE]",0.7366412502612877,2.08890760074138
frequenza,"C(categoria, Treatment(reference='DIP_BASE'))[T.PENSIONATI]",1.2224582727777251,3.395524607977197
frequenza,C(legame_familiare)[T.CONIUGE],-0.4073386761416752,0.6654187906663153
frequenza,C(legame_familiare)[T.CONVIVENTE],-0.23043043912349878,0.794191677750057
frequenza,C(legame_familiare)[T.FAMILIARE],-0.7606721770934946,0.46735217797760936
frequenza,C(legame_familiare)[T.FIGLI],-0.6700869006941008,0.5116641118880422
frequenza,C(settore)[T.BANKING_FINANCE],0.2546162407577766,1.2899664893108784
frequenza,C(settore)[T.CONSUMER_RETAIL_LUXURY],-0.6625507039549273,0.5155346796609002
frequenza,C(settore)[T.ENERGY_UTILITIES],-0.23746437175271248,0.788624987806636
frequenza,C(settore)[T.FOOD_BEVERAGE],0.014462155050543622,1.014567237978996
frequenza,C(settore)[T.INDUSTRIAL_MFG],-0.010979429914207327,0.9890806240394084
frequenza,C(settore)[T.INSURANCE],0.43801581377284715,1.5496294127132777
frequenza,C(settore)[T.MEDIA_ENT_SPORTS],-0.7539404166244053,0.47050889410190977
frequenza,C(settore)[T.OTHER],-0.687403630496231,0.5028800379355832
frequenza,C(settore)[T.PHARMA_HEALTHCARE],-0.18028121188512417,0.8350353565240735
frequenza,C(settore)[T.PROFESSIONAL_SERVICES],-0.32816153900398776,0.7202466623789648
frequenza,C(settore)[T.TECH],0.005901715259610408,1.0059191646914167
frequenza,C(settore)[T.TRANSPORT_LOGISTICS],-1.218876524906078,0.2955620370525326
frequenza,C(macroarea)[T.NORD-EST],-0.5453052197503152,0.5796648311815336
frequenza,C(macroarea)[T.NORD-OVEST],-0.08587553721668542,0.9177084446596359
frequenza,C(macroarea)[T.STATO ESTERO],-0.5862740680798062,0.5563965229854974
frequenza,C(macroarea)[T.SUD E ISOLE],-0.10988561405845834,0.895936611988394
frequenza,C(fascia_eta)[T.18-30]:C(sesso)[T.M],-0.5303025368042038,0.5884269219462442
frequenza,C(fascia_eta)[T.31-45]:C(sesso)[T.M],-0.8898384940863984,0.41072208144096306
frequenza,C(fascia_eta)[T.46-60]:C(sesso)[T.M],-0.5191990095016423,0.5949969440490924
frequenza,C(fascia_eta)[T.61-75]:C(sesso)[T.M],-0.2867485776369181,0.7507004479925667
frequenza,C(fascia_eta)[T.75+]:C(sesso)[T.M],-0.06331824373691322,0.9386447083519364
frequenza,composizione_num,-0.045723935383900335,0.9553056518793875
frequenza,log_dim_azienda,-0.07666673444469056,0.9261984722258343
severity,Intercept,4.120088162204167,61.564669702157346
severity,C(fascia_eta)[T.18-30],0.07215929807641906,1.0748265482288215
severity,C(fascia_eta)[T.31-45],0.12686662512509417,1.1352655917772105
severity,C(fascia_eta)[T.46-60],0.10776072660030425,1.1137812152830593
severity,C(fascia_eta)[T.61-75],0.0976178250396696,1.1025413408877067
severity,C(fascia_eta)[T.75+],0.10081713681313723,1.1060743629863934
severity,C(sesso)[T.M],0.035281762491072934,1.035911548701417
severity,"C(categoria, Treatment(reference='DIP_BASE'))[T.ALTRO]",-0.32039655362409925,0.7258611371290592
severity,"C(categoria, Treatment(reference='DIP_BASE'))[T.DIP_QUALIFICATO]",0.16411130523784165,1.1783454638159265
severity,"C(categoria, Treatment(reference='DIP_BASE'))[T.DIRIGENZIALE]",0.2800546294062357,1.3232020961078494
severity,"C(categoria, Treatment(reference='DIP_BASE'))[T.PENSIONATI]",0.19667601137619273,1.2173495693955696
severity,C(legame_familiare)[T.CONIUGE],-0.03471005128560443,0.9658854328998947
severity,C(legame_familiare)[T.CONVIVENTE],-0.02811948811022376,0.9722721848942107
severity,C(legame_familiare)[T.FAMILIARE],-0.05754842915455683,0.944076168468618
severity,C(legame_familiare)[T.FIGLI],0.02592897922398121,1.0262680595311668
severity,C(settore)[T.BANKING_FINANCE],0.11515009320038086,1.122041835784003
severity,C(settore)[T.CONSUMER_RETAIL_LUXURY],0.06633937383613303,1.06858930688811
severity,C(settore)[T.ENERGY_UTILITIES],-0.1262114809343818,0.8814284217652167
severity,C(settore)[T.FOOD_BEVERAGE],-0.003712990146980698,0.9962938944774516
severity,C(settore)[T.INDUSTRIAL_MFG],0.0063299844997001635,1.006350061190943
severity,C(settore)[T.INSURANCE],0.08176050410195995,1.085195878743048
severity,C(settore)[T.MEDIA_ENT_SPORTS],0.12837369373144927,1.1369778047976256
severity,C(settore)[T.OTHER],0.11117629626846111,1.1175919167724806
severity,C(settore)[T.PHARMA_HEALTHCARE],0.04503287323709908,1.046062246795769
severity,C(settore)[T.PROFESSIONAL_SERVICES],0.34743665513828165,1.415434647262855
severity,C(settore)[T.TECH],0.07533702558116648,1.0782474866402965
severity,C(settore)[T.TRANSPORT_LOGISTICS],-0.449442173306532,0.6379839368492772
severity,C(macroarea)[T.NORD-EST],0.06095387713667911,1.062849891376397
severity,C(macroarea)[T.NORD-OVEST],0.06917195741628862,1.0716204663923352
severity,C(macroarea)[T.STATO ESTERO],-0.00729189008587096,0.9927346312419527
severity,C(macroarea)[T.SUD E ISOLE],-0.05894263257781626,0.9427608513655851
severity,C(fascia_eta)[T.18-30]:C(sesso)[T.M],-0.043016820690417644,0.9578952774716036
severity,C(fascia_eta)[T.31-45]:C(sesso)[T.M],-0.04195004641945609,0.9589176807476821
severity,C(fascia_eta)[T.46-60]:C(sesso)[T.M],-0.013409689371875233,0.9866798199684681
severity,C(fascia_eta)[T.61-75]:C(sesso)[T.M],-0.016947940512769523,0.9831948679232819
severity,C(fascia_eta)[T.75+]:C(sesso)[T.M],-0.17034596101890442,0.8433729919397086
severity,composizione_num,-0.007918400089496735,0.9921128678553623
severity,log_dim_azienda,0.01464948133387632,1.014757310891148
tweedie,Intercept,4.57267613580523,96.80282094050025
tweedie,C(fascia_eta)[T.18-30],0.19625850922849997,1.2168414294180012
tweedie,C(fascia_eta)[T.31-45],0.4313439630177619,1.5393249297562643
tweedie,C(fascia_eta)[T.46-60],0.3415442144213183,1.4071188068744516
tweedie,C(fascia_eta)[T.61-75],0.3364444636864906,1.399961118431319
tweedie,C(fascia_eta)[T.75+],0.8224533145420903,2.27607692618072
tweedie,C(sesso)[T.M],0.0409988609708533,1.0418509188462406
tweedie,"C(categoria, Treatment(reference='DIP_BASE'))[T.ALTRO]",-0.9278709217184465,0.39539464099316124
tweedie,"C(categoria, Treatment(reference='DIP_BASE'))[T.DIP_QUALIFICATO]",0.902951138817665,2.4668724625309797
tweedie,"C(categoria, Treatment(reference='DIP_BASE'))[T.DIRIGENZIALE]",1.0438601260003204,2.840159254134217
tweedie,"C(categoria, Treatment(reference='DIP_BASE'))[T.PENSIONATI]",1.587527948992631,4.8916415820030075
tweedie,C(legame_familiare)[T.CONIUGE],-0.43376683542055683,0.6480633432873943
tweedie,C(legame_familiare)[T.CONVIVENTE],-0.31082078773305133,0.7328451989510539
tweedie,C(legame_familiare)[T.FAMILIARE],-0.8917245645493513,0.40994816071860213
tweedie,C(legame_familiare)[T.FIGLI],-0.672287172701032,0.5105395492911903
tweedie,C(settore)[T.BANKING_FINANCE],0.4256134883266425,1.5305290934336462
tweedie,C(settore)[T.CONSUMER_RETAIL_LUXURY],-0.6776353952156696,0.5078163587845061
tweedie,C(settore)[T.ENERGY_UTILITIES],-0.3492145914040806,0.7052417752080293
tweedie,C(settore)[T.FOOD_BEVERAGE],-0.03498372940853618,0.9656211273566238
tweedie,C(settore)[T.INDUSTRIAL_MFG],-0.09609550630787024,0.9083772561678233
tweedie,C(settore)[T.INSURANCE],0.6202299328611198,1.8593555196333316
tweedie,C(settore)[T.MEDIA_ENT_SPORTS],-0.8220480328692801,0.439530559052419
tweedie,C(settore)[T.OTHER],-0.9849351589023453,0.37346344193109776
tweedie,C(settore)[T.PHARMA_HEALTHCARE],-0.1084453429141177,0.897227933341016
tweedie,C(settore)[T.PROFESSIONAL_SERVICES],-0.019929250910982466,0.9802680239231655
tweedie,C(settore)[T.TECH],0.1752267077973349,1.191516312033422
tweedie,C(settore)[T.TRANSPORT_LOGISTICS],-1.8090183669586355,0.16381486398539574
tweedie,C(macroarea)[T.NORD-EST],-0.6114842196042267,0.5425450152426087
tweedie,C(macroarea)[T.NORD-OVEST],-0.025574539924118504,0.9747497184876709
tweedie,C(macroarea)[T.STATO ESTERO],-0.7532143725293506,0.47085062834819713
tweedie,C(macroarea)[T.SUD E ISOLE],-0.19000477490068396,0.8269551853050552
tweedie,C(fascia_eta)[T.18-30]:C(sesso)[T.M],-0.5253138242038108,0.5913697491023874
tweedie,C(fascia_eta)[T.31-45]:C(sesso)[T.M],-0.91912278076872,0.3988687830291371
tweedie,C(fascia_eta)[T.46-60]:C(sesso)[T.M],-0.5106287093795641,0.6001181602652023
tweedie,C(fascia_eta)[T.61-75]:C(sesso)[T.M],-0.36583835293120665,0.6936149129657956
tweedie,C(fascia_eta)[T.75+]:C(sesso)[T.M],-0.24009651077044816,0.7865519466689633
tweedie,composizione_num,-0.05696308103710666,0.944628943443673
tweedie,log_dim_azienda,-0.14347353659576914,0.8663437262881236
