colonna,ruolo,dtype,n_missing
id_assicurato,id,int64,0
id_caponucleo,id,int64,0
id_nucleo,id,object,0
id_azienda,id,object,0
uy,id,int64,0
split,id,object,0
esposizione,target,float64,0
n_sinistri,target,float64,0
costo_totale,target,float64,0
costo_capped,target,float64,0
has_claim,target,int64,0
frequenza,target,float64,0
severity,target,float64,59739
burning_cost,target,float64,0
burning_cost_capped,target,float64,0
sesso,feature_cat,object,0
fascia_eta,feature_cat,category,0
categoria,feature_cat,object,0
tipo_assicurato,feature_cat,object,0
legame_familiare,feature_cat,object,0
carico_fiscale,feature_cat,object,0
settore,feature_cat,object,0
macroarea,feature_cat,object,0
regione,feature_cat,object,0
eta,feature_num,int64,0
composizione_num,feature_num,int64,0
n_assicurati_nucleo,feature_num,int64,0
eta_media_nucleo,feature_num,float64,0
eta_min_nucleo,feature_num,int64,0
eta_max_nucleo,feature_num,int64,0
n_figli_nucleo,feature_num,int64,0
eta_caponucleo,feature_num,float64,0
dimensione_azienda,feature_num,int64,0
log_dim_azienda,feature_num,float64,0
presenza_figli,feature_flag,int64,0
presenza_anziani,feature_flag,int64,0
